id	characterId	characterLevel	extraCompList	skill_list	maxHp	maxMp	attack	defend	missChance	criticalChance	attackTargetType	armorLevel	magicResistanceLevel	attackDamageType	attackPhysicalLevel	attackMagicAttribute	weakAttributeList	normalAttributeList	resistentAttributeList	invilidAttributeList	bounceAttributeList	suckAttributeList	needExpToNextLevel	dropExp	dropMoney
1017	1005	2	*	*	150	0	23	3	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	*	FIRE;WOOD	*	WATER	*	*	150	66	66
1018	1005	3	*	*	195	0	35	4	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	*	FIRE;WOOD	*	WATER	*	*	250	67	67
1019	1005	4	*	*	265	0	43	5	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	*	FIRE;WOOD	*	WATER	*	*	400	68	68
1020	1005	5	*	*	325	0	55	6	.02	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	*	FIRE;WOOD	*	WATER	*	*	600	69	69
1021	1006	1	*	1006	235	0	30	8	.01	.05	SINGLE	HEAVY	LIGHT	PHYSICAL	MEDIUM	NONE	*	FIRE;WATER;WOOD	*	*	*	*	100	70	70
1022	1006	2	*	1006	310	0	38	10	.01	.05	SINGLE	HEAVY	LIGHT	PHYSICAL	MEDIUM	NONE	*	FIRE;WATER;WOOD	*	*	*	*	150	71	71
1023	1006	3	*	1006	395	0	46	12	.01	.05	SINGLE	HEAVY	LIGHT	PHYSICAL	MEDIUM	NONE	*	FIRE;WATER;WOOD	*	*	*	*	250	72	72
1024	1006	4	*	1006	466	0	55	14	.01	.05	SINGLE	HEAVY	LIGHT	PHYSICAL	MEDIUM	NONE	*	FIRE;WATER;WOOD	*	*	*	*	400	73	73
1025	1006	5	*	1006	530	0	63	18	.01	.05	SINGLE	HEAVY	LIGHT	PHYSICAL	MEDIUM	NONE	*	FIRE;WATER;WOOD	*	*	*	*	600	74	74
1026	1007	1	*	1005	215	25	26	10	.05	.05	SINGLE	MEDIUM	LIGHT	PHYSICAL	LIGHT	NONE	*	WOOD	FIRE;WATER	*	*	*	100	75	75
1027	1007	2	*	1005	300	50	35	13	.05	.05	SINGLE	MEDIUM	LIGHT	PHYSICAL	LIGHT	NONE	*	WOOD	FIRE;WATER	*	*	*	150	76	76
1028	1007	3	*	1005;1007	360	80	45	15	.05	.05	SINGLE	MEDIUM	LIGHT	PHYSICAL	LIGHT	NONE	*	WOOD	FIRE;WATER	*	*	*	250	77	77
1029	1007	4	*	1005;1007	443	110	52	18	.05	.05	SINGLE	MEDIUM	LIGHT	PHYSICAL	LIGHT	NONE	*	WOOD	FIRE;WATER	*	*	*	400	78	78
1030	1007	5	*	1005;1007	505	130	60	25	.05	.05	SINGLE	MEDIUM	LIGHT	PHYSICAL	LIGHT	NONE	*	WOOD	FIRE;WATER	*	*	*	600	79	79
1031	1008	1	*	1010	130	0	35	1	.01	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	WATER	*	FIRE;WATER;WOOD	*	*	*	*	100	80	80
1032	1008	2	*	1010	160	0	45	2	.01	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	WATER	*	FIRE;WATER;WOOD	*	*	*	*	150	81	81
1033	1008	3	*	1010	225	0	60	4	.01	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	WATER	*	FIRE;WATER;WOOD	*	*	*	*	250	82	82
1034	1008	4	*	1010	265	0	75	5	.01	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	WATER	*	FIRE;WATER;WOOD	*	*	*	*	400	83	83
1035	1008	5	*	1010	300	0	83	7	.01	.05	SINGLE	LIGHT	MEDIUM	MAGIC	NONE	WATER	*	FIRE;WATER;WOOD	*	*	*	*	600	84	84
1036	1009	1	*	*	85	0	15	2	.2	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	WATER	FIRE;WOOD	*	*	*	*	100	85	85
1037	1009	2	*	*	120	0	22	3	.2	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	WATER	FIRE;WOOD	*	*	*	*	150	86	86
1038	1009	3	*	*	150	0	30	5	.2	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	WATER	FIRE;WOOD	*	*	*	*	250	87	87
1039	1009	4	*	*	180	0	40	7	.2	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	WATER	FIRE;WOOD	*	*	*	*	400	88	88
1040	1009	5	*	*	210	0	50	8	.2	.05	SINGLE	LIGHT	LIGHT	PHYSICAL	LIGHT	NONE	WATER	FIRE;WOOD	*	*	*	*	600	89	89
1041	1010	1	*	1009	160	0	40	4	.05	.1	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	FIRE	WATER;WOOD	*	*	*	*	100	90	90
1042	1010	2	*	1009	220	0	48	6	.05	.1	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	FIRE	WATER;WOOD	*	*	*	*	150	91	91
1043	1010	3	*	1009	250	0	53	8	.05	.1	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	FIRE	WATER;WOOD	*	*	*	*	250	92	92
1044	1010	4	*	1009	320	0	60	10	.05	.1	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	FIRE	WATER;WOOD	*	*	*	*	400	93	93
1045	1010	5	*	1009	400	0	70	12	.05	.1	SINGLE	LIGHT	LIGHT	PHYSICAL	MEDIUM	NONE	FIRE	WATER;WOOD	*	*	*	*	600	94	94
